Calendar Year,Quarter,County,Per Capita Sales,Total Taxable Sales
2021,1,Alameda,20.22,33502749
2021,1,Calaveras,52.33,2356984
2021,1,Contra Costa,20.85,24068262
2021,1,El Dorado,21.38,4178018
2021,1,Fresno,2.51,2583385
2021,1,Humboldt,52.35,6850246
2021,1,Kern,3.04,2783492
2021,1,Los Angeles,26.45,265775459
2021,1,Mendocino,72.89,6317567
2021,1,Merced,51.38,14636273
2021,1,Mono,101.13,1344536
2021,1,Monterey,37.53,16415819
2021,1,Nevada,11.73,1144176
2021,1,Orange,17.07,53854594
2021,1,Riverside,30.53,74940590
2021,1,Sacramento,30.26,47236360
2021,1,San Bernardino,11.08,24124969
2021,1,San Diego,25.23,83667612
2021,1,San Francisco,50.4,44103478
2021,1,San Luis Obispo,44.88,12171732
2021,1,San Mateo,6.05,4634719
2021,1,Santa Barbara,11.98,5286358
2021,1,Santa Clara,24.3,47004619
2021,1,Santa Cruz,51.68,13495866
2021,1,Shasta,72.79,12942950
2021,1,Siskiyou,34.09,1511579
2021,1,Solano,30.53,13391842
2021,1,Sonoma,34.13,16529969
2021,1,Stanislaus,76.3,42421012
2021,1,Tulare,25.84,12451461
2021,1,Undisclosed,,28428698
2021,1,Ventura,12.8,10690969
2021,1,Yolo,40.1,8721877
2020,1,Alameda,33.35,55471887
2020,2,Alameda,44.45,73934070
2020,3,Alameda,46.71,77693941
2020,4,Alameda,41.63,69249563
2020,2,Calaveras,32.28,1453370
2020,3,Calaveras,48.58,2187463
2020,4,Calaveras,49.62,2234142
2020,1,Contra Costa,10.68,12288896
2020,2,Contra Costa,16.77,19288506
2020,3,Contra Costa,21.31,24514466
2020,4,Contra Costa,22.45,25817456
2020,1,El Dorado,28.79,5573338
2020,2,El Dorado,38,7354686
2020,3,El Dorado,42.06,8139905
2020,4,El Dorado,33.98,6576139
2020,1,Fresno,1.15,1180977
2020,2,Fresno,2.22,2265795
2020,3,Fresno,2.31,2363572
2020,4,Fresno,2.21,2260167
2020,1,Humboldt,51.31,6815735
2020,2,Humboldt,82.6,10972325
2020,3,Humboldt,78.17,10383586
2020,4,Humboldt,68.71,9127039
2020,4,Imperial,47.6,8969780
2020,1,Kern,1.46,1339185
2020,2,Kern,3.05,2799158
2020,3,Kern,3.94,3615307
2020,4,Kern,4.57,4191756
2020,1,Lake,28,1792491
2020,2,Lake,48.92,3131542
2020,3,Lake,59.35,3799253
2020,4,Lake,31.89,2041754
2020,1,Los Angeles,24.78,251197625
2020,2,Los Angeles,31.02,314475403
2020,3,Los Angeles,38.83,393605362
2020,4,Los Angeles,35.59,360741036
2020,1,Marin,9.27,2415392
2020,2,Marin,14.46,3765703
2020,3,Marin,14.17,3690797
2020,4,Marin,13.63,3550901
2020,1,Mendocino,57.89,5077601
2020,2,Mendocino,76.57,6716284
2020,3,Mendocino,88.05,7722939
2020,4,Mendocino,74.16,6505279
2020,1,Merced,21.28,6031937
2020,2,Merced,40.02,11340817
2020,3,Merced,46.71,13235879
2020,4,Merced,40.85,11577110
2020,1,Mono,79.81,1073443
2020,2,Mono,75.82,1019747
2020,3,Mono,120.66,1622762
2020,4,Mono,89.53,1204215
2020,1,Monterey,25.08,11048327
2020,2,Monterey,31.79,14001812
2020,3,Monterey,34.72,15292396
2020,4,Monterey,73.8,32502065
2020,3,Napa,16.45,2287387
2020,4,Nevada,55.96,5471920
2020,1,Orange,11.79,37529193
2020,2,Orange,15.65,49788474
2020,3,Orange,19.07,60664815
2020,4,Orange,20.41,64922643
2020,1,Riverside,19.65,47979274
2020,2,Riverside,24.91,60800301
2020,3,Riverside,30.36,74118418
2020,4,Riverside,32.69,79807000
2020,1,Sacramento,35.79,55601602
2020,2,Sacramento,47.26,73415342
2020,3,Sacramento,55.92,86853035
2020,4,Sacramento,49.09,76259990
2020,1,San Bernardino,6.7,14596379
2020,2,San Bernardino,10.57,23006363
2020,3,San Bernardino,12.1,26324556
2020,4,San Bernardino,13.54,29463022
2020,1,San Diego,19.23,64064344
2020,2,San Diego,24.69,82250721
2020,3,San Diego,28.85,96140425
