Calendar Year,Quarter,Excise Tax,Cultivation Tax,Sales Tax,Total Tax,Year-Quarter,Taxable Sales
2021,Q1,131883766,30722436,82433385,245039587,2021Q1,939006871
2020,Q4,151752695,41596791,107593064,300942550,2020Q4,1214304119
2020,Q3,168867864,43288199,112149039,324305102,2020Q3,1263455676
2020,Q2,136813217,30951212,96222756,263987185,2020Q2,1090069349
2020,Q1,111927072,27437316,74604416,213968804,2020Q1,842871491
2019,Q4,86753002,24643665,68577177,179973844,2019Q4,773830696
2019,Q3,84668486,22749764,63836789,171255039,2019Q3,720394310
2019,Q2,75619238,22932788,58591074,157143100,2019Q2,660666859
2019,Q1,63644544,17221222,49245889,130111655,2019Q1,563165270
2018,Q4,57045737,17185543,47565802,121797082,2018Q4,545954177
2018,Q3,55294003,12861899,41828081,109983983,2018Q3,478635369
2018,Q2,43200609,4934643,44797551,92932803,2018Q2,512894249
2018,Q1,35865406,1849146,35249075,72963627,2018Q1,405487311
