Sales Month,Total Medical Monthly Sales,Total Medical YTD Sales,Total Retail Monthly Sales,Total Retail YTD Sales,Total Monthly Sales,Total YTD Sales
01/14/2021,32541720,32541720,14022213,14022213,46563933,46563933
02/14/2021,31738572,64280292,14248473,28270686,45987045,92550978
03/14/2021,34821878,99102170,19881631,48152317,54703509,147254487
04/14/2021,32686869,131789039,20765986,68918303,53452855,200707342
05/14/2021,31355208,163144247,21375001,90293304,52730209,253437551
06/14/2021,29950309,193094556,23978082,114271386,53928391,307365942
07/14/2021,31137623,224232179,29866792,144138178,61004415,368370357
08/14/2021,33912226,258144405,33520608,177658786,67432834,435803191
09/14/2021,32721238,290865643,30345357,208004143,63066595,498869786
10/14/2021,31779216,322644859,31185985,239190128,62965201,561834987
11/14/2021,28978462,351623321,29470126,268660254,58448588,620283575
12/14/2021,28660719,380284040,34579445,303239699,63240164,683523739
01/15/2021,30181833,30181833,37224033,37224033,67405866,67405866
02/15/2021,29066073,59247906,35843189,73067222,64909262,132315128
03/15/2021,32820548,92068454,42952626,116019848,75773174,208088302
04/15/2021,32878517,124946971,43832944,159852792,76711461,284799763
05/15/2021,33609116,158556087,44590853,204443645,78199969,362999732
06/15/2021,34552396,193108483,46460218,250903863,81012614,444012346
07/15/2021,40611139,233719622,55315111,306218974,95926250,539938596
08/15/2021,40819368,274538990,57679482,363898456,98498850,638437446
09/15/2021,39991813,314530803,53639366,417537822,93631179,732068625
10/15/2021,36742780,351273583,54467764,472005586,91210544,823279169
11/15/2021,30770436,382044019,49453755,521459341,80224191,903503360
12/15/2021,36010893,418054912,56077002,577536343,92087895,995591255
01/16/2021,32860544,32860544,55896018,55896018,88756562,88756562
02/16/2021,34019234,66879778,57045314,112941332,91064548,179821110
03/16/2021,38116173,104995951,65121388,178062720,103237561,283058671
04/16/2021,38294503,143290454,63841328,241904048,102135831,385194502
05/16/2021,37636295,180926749,63831071,305735119,101467366,486661868
06/16/2021,38177550,219104299,67881863,373616982,106059413,592721281
07/16/2021,40129985,259234284,81478447,455095429,121608432,714329713
08/16/2021,41056948,300291232,84055363,539150792,125112311,839442024
09/16/2021,39672483,339963715,86137409,625288201,125809892,965251916
10/16/2021,35940555,375904270,80695313,705983514,116635868,1081887784
11/16/2021,34839439,410743709,74382892,780366406,109222331,1191110115
12/16/2021,34872353,445616062,81221005,861587411,116093358,1307203473
01/17/2021,31712608,31712608,76018423,76018423,107731031,107731031
02/17/2021,31074413,62787021,75665966,151684389,106740379,214471410
03/17/2021,37451683,100238704,92912147,244596536,130363830,344835240
04/17/2021,38049392,138288096,86223281,330819817,124272673,469107913
05/17/2021,36521894,174809990,87012525,417832342,123534419,592642332
06/17/2021,36125578,210935568,92825639,510657981,128951217,721593549
07/17/2021,35256994,246192562,101037453,611695434,136294447,857887996
08/17/2021,36921075,283113637,101548082,713243516,138469157,996357153
09/17/2021,35518033,318631670,100280636,813524152,135798669,1132155822
10/17/2021,34082247,352713917,93623919,907148071,127706166,1259861988
11/17/2021,31878468,384592385,87689309,994837380,119567777,1379429765
12/17/2021,31924397,416516782,96348057,1091185437,128272454,1507702219
01/18/2021,29263308,29263308,88729914,88729914,117993222,117993222
02/18/2021,26640302,55903610,85869215,174599129,112509517,230502739
03/18/2021,29238678,85142288,105945278,280544407,135183956,365686695
04/18/2021,27019073,112161361,97290806,377835213,124309879,489996574
05/18/2021,26225775,138387136,96642441,474477654,122868216,612864790
06/18/2021,27096966,165484102,102426064,576903718,129523030,742387820
07/18/2021,27239015,192723116,111296569,688200287,138535584,880923403
08/18/2021,28323863,221046979,112998245,801198532,141322108,1022245511
09/18/2021,27897573,248944551,107638880,908837412,135536453,1157781963
10/18/2021,27919377,276863929,101305394,1010142806,129224771,1287006735
11/18/2021,26062807,302926736,97877084,1108019890,123939891,1410946626
12/18/2021,29246755,332173491,105497699,1213517589,134744454,1545691080
01/19/2021,25680596,25680596,99193678,99193678,124874274,124874274
02/19/2021,24082927,49763523,95324933,194518611,119407860,244282134
03/19/2021,28097865,77861388,114317739,308836350,142415604,386697738
04/19/2021,27943394,105804782,107938775,416775125,135882169,522579907
05/19/2021,29446360,135251142,113660919,530436044,143107279,665687186
06/19/2021,29653362,164904504,122372729,652808773,152026091,817713277
07/19/2021,30389970,195294474,135904745,788713518,166294715,984007992
08/19/2021,31350310,226644784,141869549,930583067,173219859,1157227851
09/19/2021,28601353,255246136,126853814,1057436881,155455167,1312683017
10/19/2021,29229660,284475797,121246599,1178683480,150476259,1463159277
11/19/2021,26697731,311173528,114381244,1293064724,141078975,1604238252
12/19/2021,27314662,338488190,116437714,1409502438,143752376,1747990628
01/20/2021,27471535,27471535,111660730,111660730,139132265,139132265
02/20/2021,26557708,54029243,112068640,223729370,138626348,277758613
03/20/2021,32929194,86958437,128117512,351846882,161046706,438805319
04/20/2021,36485700,123444138,112010018,463856900,148495718,587301038
05/20/2021,42989322,166433459,149186615,613043515,192175937,779476974
06/20/2021,40770582,207204042,158102628,771146143,198873210,978350185
07/20/2021,43268565,250472606,183106003,954252146,226374568,1204724752
08/20/2021,42034746,292507353,176566595,1130818741,218601341,1423326094
09/20/2021,39941149,332448501,166547119,1297365860,206488268,1629814361
10/20/2021,38788945,371237446,160999919,1458365779,199788864,1829603225
11/20/2021,34650013,405887459,140495233,1598861012,175145246,2004748471
12/20/2021,36651909,442539368,149691299,1748552311,186343208,2191091679
01/21/2021,35869373,35869373,151734324,151734324,187603697,187603697
02/21/2021,32452819,68322192,134584956,286319280,167037775,354641472
03/21/2021,40372910,108695102,166729153,453048433,207102063,561743535
04/21/2021,39817606,148512708,166506561,619554994,206324167,768067702
