activitysummarydate,total_plantimmaturecount,total_planttrackedcount,total_plantfloweringcount,total_plantvegetativecount,total_plantdestroyedcount,total_plantharvestedcount,total_plantcount,salestotal,total_active_harvestcount,total_active_packagecount,total_plantbatchcount,total_activeproducts,total_activestrains,total_employees
6/4/2021 0:00,140747,225685,114894,110791,231460,966667,1423812,1658393701,1231,131289,3388,155452,30337,8334
6/3/2021 0:00,140747,225685,114894,110791,231460,966667,1423812,1658393171,1231,131271,3388,155452,30337,8334
6/2/2021 0:00,146669,221316,111723,109593,229462,961421,1412199,1651406184,1208,128029,3466,155053,30165,8282
6/1/2021 0:00,153497,211654,108947,102707,228692,960539,1400885,1648229061,1212,126709,3520,154325,30045,8282
5/31/2021 0:00,155021,210406,108882,101524,228595,959964,1398965,1645279055,1232,127630,3626,154348,30010,8274
5/30/2021 0:00,155009,210406,108882,101524,228595,959964,1398965,1645149521,1232,127706,3623,154348,30010,8274
5/29/2021 0:00,155191,209633,109335,100298,228505,958927,1397065,1638043121,1225,128933,3582,154245,29999,8274
5/28/2021 0:00,158343,206760,107354,99406,228135,958802,1393697,1635794211,1223,129220,3661,154209,29995,8270
5/27/2021 0:00,161257,204727,109002,95725,227619,954997,1387343,1631187362,1197,128357,3634,153052,29925,8263
5/26/2021 0:00,166362,202038,110580,91458,226595,949197,1377830,1625018817,1143,125482,3538,152515,29753,8234
5/25/2021 0:00,164960,202324,111459,90865,226339,948208,1376871,1623248007,1202,125190,3545,152301,29725,8233
5/24/2021 0:00,163074,202131,111097,91034,225672,946341,1374144,1620880210,1187,123684,3573,151550,29508,8212
5/23/2021 0:00,161565,201953,112520,89433,225000,943387,1370340,1616003598,1202,127179,3561,151343,29459,8143
5/22/2021 0:00,161019,202013,112088,89925,224723,943051,1369787,1611464141,1202,128128,3554,150795,29437,8146
5/21/2021 0:00,161019,202013,111958,90055,224723,943051,1369787,1611285046,1202,128109,3554,150794,29437,8146
